file,qualified_name,type,name,signature,visibility,line,description,inputs,outputs,side_effects,dependencies,dev_usage,evidence_status,review_status
core.py,core.V2SimInstance.step_until,method,step_until,"(self, t: int) -> int",public,493,Simulation steps till time t.,"(self, t: int) -> int",,,self.__inst; self.step,,auto_generated,pending
core.py,core.V2SimInstance._save_obj,method,_save_obj,(self),protected,504,"Save plugin states. Advanced users only, at your own risk!",(self),,,pickle.__name__; pickle.dumps; self.__plgman,,auto_generated,pending
core.py,core.V2SimInstance.save,method,save,"(self, folder: Union[str, Path])",public,512,Save the current state of the simulation,"(self, folder: Union[str, Path])",,,gzip.open; pickle.__name__; pickle.dump; self.__inst; self.__plgman,,auto_generated,pending
core.py,core.V2SimInstance.stop,method,stop,"(self, save_state_to: Union[str, Path])",public,523,Stop simulation.,"(self, save_state_to: Union[str, Path])",,,self.__inst; self.__out; self.__plgman; self.__sta; self.__working_flag,,auto_generated,pending
core.py,core.V2SimInstance.simulate,method,simulate,"(self, use_signal: bool)",public,537,Main simulation function,"(self, use_signal: bool)",,,Lang.MAIN_SIGINT; Lang.MAIN_SIM_DONE; Lang.MAIN_SIM_PROG; SaveStateOptions.OnAbort; SaveStateOptions.OnFinish,,auto_generated,pending
core.py,core.V2SimInstance.__vis_str,method,__vis_str,(self),private,623,待人工补充,(self),,,fcs.Pc_kW; fcs._name; fcs.veh_count; self.__inst,,auto_generated,pending
core.py,core.V2SimInstance._istep,method,_istep,(self),protected,627,待人工补充,(self),,,Lang.MAIN_SIM_PROG; VehStatus.Charging; VehStatus.Depleted; VehStatus.Driving; VehStatus.Parking,,auto_generated,pending
core.py,core.V2SimInstance.__del__,method,__del__,(self),dunder,669,待人工补充,(self),,,self.__out,,auto_generated,pending
core.py,core.V2SimInstance.progress,method,progress,(self) -> float,public,674,Simulation progress in percentage,(self) -> float,,,self.__progress; self.__progress_lock,,auto_generated,pending
net.py,net._largeStackExec,function,_largeStackExec,"(func, *args)",protected,16,待人工补充,"(func, *args)",,,sys.setrecursionlimit; th.join; th.start; threading.Thread; threading.stack_size,,auto_generated,pending
net.py,net.Node,class,Node,,public,25,待人工补充,,,,,,auto_generated,pending
net.py,net.Node.__init__,method,__init__,"(self, node_id: str, x: float, y: float, extras: Optional[Dict[str, str]])",dunder,26,待人工补充,"(self, node_id: str, x: float, y: float, extras: Optional[Dict[str, str]])",,,self.attrs; self.incoming_edges; self.name; self.outgoing_edges; self.x,,auto_generated,pending
net.py,net.Node.get_coord,method,get_coord,"(self) -> Tuple[float, float]",public,34,Get the coordinates of the node.,"(self) -> Tuple[float, float]",,,self.x; self.y,,auto_generated,pending
net.py,net.Node.__getitem__,method,__getitem__,"(self, key: str) -> str",dunder,38,待人工补充,"(self, key: str) -> str",,,self.attrs,,auto_generated,pending
net.py,net.Node.__setitem__,method,__setitem__,"(self, key: str, value: str)",dunder,41,待人工补充,"(self, key: str, value: str)",,,self.attrs,,auto_generated,pending
net.py,net.Edge,class,Edge,,public,45,待人工补充,,,,,,auto_generated,pending
net.py,net.Edge.__init__,method,__init__,"(self, name: str, from_node: Node, to_node: Node, length: float, lanes: int, speed_limit: float, world_id: int, nickname: Optional[str], extras: Optional[Dict[str, str]])",dunder,46,待人工补充,"(self, name: str, from_node: Node, to_node: Node, length: float, lanes: int, speed_limit: float, world_id: int, nickname: Optional[str], extras: Optional[Dict[str, str]])",,,self.attrs; self.from_node; self.lanes; self.length; self.name,,auto_generated,pending
net.py,net.Edge.instant_travel_time,method,instant_travel_time,"(self, t: int) -> float",public,57,"Get the travel time of free flowing condition. The parameter t is ignored, but kept for compatibility.","(self, t: int) -> float",,,self.length; self.speed_limit,,auto_generated,pending
net.py,net.Edge.__getitem__,method,__getitem__,"(self, key: str) -> str",dunder,61,待人工补充,"(self, key: str) -> str",,,self.attrs,,auto_generated,pending
net.py,net.Edge.__setitem__,method,__setitem__,"(self, key: str, value: str)",dunder,64,待人工补充,"(self, key: str, value: str)",,,self.attrs,,auto_generated,pending
net.py,net.SubNet,class,SubNet,,public,69,待人工补充,,,,,,auto_generated,pending
net.py,net._TarjanSCC,class,_TarjanSCC,,protected,73,待人工补充,,,,,,auto_generated,pending
net.py,net._TarjanSCC.__init__,method,__init__,"(self, n: int, gl: Dict[int, List[int]])",dunder,74,待人工补充,"(self, n: int, gl: Dict[int, List[int]])",,,self.__dfn; self.__dfncnt; self.__gl; self.__low; self.__sc,,auto_generated,pending
net.py,net._TarjanSCC.__tarjan,method,__tarjan,"(self, u: int)",private,88,待人工补充,"(self, u: int)",,,self.__dfn; self.__dfncnt; self.__gl; self.__low; self.__sc,,auto_generated,pending
